TrialID,BlockID,RefLoc,nTestDots,RefPaths,TestPaths,Responses,RT,TestMore,CorrectReponses
37,1,1,6,stimuli/main/ref_images/img_10_065.png,stimuli/main/test_images/img_06_465.png,-1,-1,-1,1
38,1,1,10,stimuli/main/ref_images/img_10_193.png,stimuli/main/test_images/img_10_493.png,-1,-1,-1,1
39,1,0,5,stimuli/main/ref_images/img_10_134.png,stimuli/main/test_images/img_05_484.png,-1,-1,-1,0
40,1,0,20,stimuli/main/ref_images/img_10_126.png,stimuli/main/test_images/img_20_476.png,-1,-1,-1,1
41,1,0,8,stimuli/main/ref_images/img_10_171.png,stimuli/main/test_images/img_08_471.png,-1,-1,-1,0
42,1,1,10,stimuli/main/ref_images/img_10_256.png,stimuli/main/test_images/img_10_456.png,-1,-1,-1,1
43,1,0,8,stimuli/main/ref_images/img_10_325.png,stimuli/main/test_images/img_08_475.png,-1,-1,-1,0
44,1,1,6,stimuli/main/ref_images/img_10_177.png,stimuli/main/test_images/img_06_477.png,-1,-1,-1,1
45,1,1,10,stimuli/main/ref_images/img_10_270.png,stimuli/main/test_images/img_10_470.png,-1,-1,-1,1
46,1,1,16,stimuli/main/ref_images/img_10_321.png,stimuli/main/test_images/img_16_471.png,-1,-1,-1,0
47,1,0,20,stimuli/main/ref_images/img_10_280.png,stimuli/main/test_images/img_20_480.png,-1,-1,-1,1
48,1,0,5,stimuli/main/ref_images/img_10_281.png,stimuli/main/test_images/img_05_481.png,-1,-1,-1,0
49,1,1,8,stimuli/main/ref_images/img_10_262.png,stimuli/main/test_images/img_08_462.png,-1,-1,-1,1
50,1,0,8,stimuli/main/ref_images/img_10_024.png,stimuli/main/test_images/img_08_474.png,-1,-1,-1,0
